Pop	Subgroup	Group
FIN	NorthernEuropean	European
GBR	WesternEuropean	European
French	WesternEuropean	European
French_Basque	Iberian	European
IBS	Iberian	European
TSI	Italian	European
Tuscan	Italian	European
North_Italian	Italian	European
CHB	Asian	Asian
Dai	Asian	Asian
She	Asian	Asian
Tujia	Asian	Asian
Miaozu	Asian	Asian
JPT	Asian	Asian
KHV	Asian	Asian
Cambodians	Asian	Asian
Karitiana	Amerindian	Amerindian
Pima	Amerindian	Amerindian
Surui	Amerindian	Amerindian
STU	SouthAsian	SouthAsian
GIH	NorthIndian	SouthAsian
GWD	Senegambian	African
YRI	Nigerian	African
ESN	Nigerian	African
LWK	EastAfrican	African
Biaka_Pygmies	Pygmies	African
Mbuti_Pygmies	Pygmies	African
Bedouin	NorthAfrican	NorthAfrican
Druze	NorthAfrican	NorthAfrican
Mozabite	NorthAfrican	NorthAfrican
Palestinian	NorthAfrican	NorthAfrican
Kalash	Persian	Persian
